date,link,tag,text
2015-04-24T00:02:00Z,49332,"внешняя политика,Армения","Президент принял участие в памятных мероприятиях, посвящённых 100-летию геноцида армян"
2015-04-24T00:03:00Z,49336,"внешняя политика,Армения",Встреча с Президентом Армении Сержем Саргсяном
2015-04-24T00:04:00Z,49337,"внешняя политика,Франция",Встреча с Президентом Франции Франсуа Олландом
2015-04-25T00:01:00Z,49340,"внешняя политика,Непал",Соболезнования Президенту Непала Рам Баран Ядаву
2015-04-27T00:01:00Z,49342,"внешняя политика,Казахстан",Владимир Путин поздравил Нурсултана Назарбаева с победой на выборах Президента Республики Казахстан
2015-04-27T00:02:00Z,49344,"внешняя политика,Казахстан",Телефонный разговор с Президентом Казахстана Нурсултаном Назарбаевым
2015-04-27T00:03:00Z,49345,"госслужба,местное самоуправление,Санкт-Петербург",Встреча с членами Совета законодателей
2015-04-27T00:04:00Z,49348,"культура,Санкт-Петербург",Заседание попечительского совета Русского географического общества
2015-04-27T00:05:00Z,49350,"внешняя политика,Украина",О спецпредставителе России в Контактной группе по Украине
2015-04-27T00:06:00Z,49351,"вузы,профессиональное образование,Санкт-Петербург",Встреча со студентами Высшей школы менеджмента СПбГУ
2015-04-28T00:01:00Z,49357,"Великая Отечественная война,Санкт-Петербург",Владимир Путин осмотрел панораму «Битва за Берлин. Подвиг знаменосцев»
2015-04-28T00:02:00Z,49358,"СМИ,Санкт-Петербург",Медиафорум независимых региональных и местных СМИ
2015-04-29T00:01:00Z,49366,"государственные финансы,промышленность,регионы,сельское хозяйство,экономика и финансы",Совещание с членами Правительства
2015-04-29T00:02:00Z,49367,внешняя политика,Встреча с участниками «группы старейшин»
2015-04-30T00:01:00Z,49375,"внешняя политика,Канада",Встреча с Жаном Кретьеном
2015-04-30T00:02:00Z,49376,поддержка предпринимательства,Встреча с Уполномоченным по защите прав предпринимателей Борисом Титовым
2015-04-30T00:03:00Z,49377,"внешняя политика,национальная безопасность",Совещание с постоянными членами Совета Безопасности
2015-04-30T00:04:00Z,49378,"внешняя политика,Германия,Украина,Франция","Телефонный разговор с Ангелой Меркель, Франсуа Олландом и Петром Порошенко"
2015-05-01T00:01:00Z,49382,госнаграды,В Кремле вручены медали «Герой Труда Российской Федерации»
2015-05-02T00:01:00Z,49388,национальная безопасность,Внесены изменения в закон о пожарной безопасности
2015-05-02T00:02:00Z,49389,национальная безопасность,Внесены изменения в закон о защите населения и территорий от чрезвычайных ситуаций природного и техногенного характера
2015-05-02T00:03:00Z,49391,"профессиональное образование,рынок труда",Внесены изменения в Трудовой кодекс и закон об образовании
2015-05-02T00:04:00Z,49392,"внешняя политика,энергетика,Китай",Подписан закон о ратификации соглашения между правительствами России и Китая о сотрудничестве в сфере поставок природного газа по «восточному» маршруту
2015-05-02T00:05:00Z,49393,"БРИКС,внешняя политика,экономика и финансы,Бразилия,Индия,Китай,Южно-Африканская Республика",Подписан закон о ратификации Договора о создании Пула условных валютных резервов стран БРИКС
2015-05-02T00:06:00Z,49394,государственные финансы,"Подписан закон об особенностях перечисления в 2015 году прибыли, полученной Центральным банком по итогам 2014 года"
2015-05-02T00:07:00Z,49395,"",Соболезнования в связи с кончиной Майи Плисецкой
2015-05-03T00:01:00Z,49396,налоги,"Подписан закон, направленный на повышение ответственности налоговых агентов"
2015-05-03T00:02:00Z,49397,налоги,"Подписан закон о нулевой ставке налога на прибыль для образовательных организаций, осуществляющих деятельность по присмотру и уходу за детьми"
2015-05-05T00:01:00Z,49411,энергетика,Рабочая встреча с главой госкорпорации «Росатом» Сергеем Кириенко
2015-05-06T00:01:00Z,49413,культура,Поздравление Владимиру Этушу с Днём рождения
2015-05-06T00:02:00Z,49416,права человека,Встреча с Уполномоченным по правам человека в России Эллой Памфиловой
2015-05-06T00:03:00Z,49417,миграция,Встреча с директором Федеральной миграционной службы Константином Ромодановским
2015-05-07T00:01:00Z,49425,"здравоохранение,майские указы,рынок труда,социальная сфера",Заседание Комиссии по мониторингу достижения целевых показателей социально-экономического развития
2015-05-07T00:02:00Z,49426,"внешняя политика,Греция",Телефонный разговор с Премьер-министром Греции Алексисом Ципрасом
2015-05-07T00:03:00Z,49427,национальная безопасность,Совещание с постоянными членами Совета Безопасности
2015-05-07T00:04:00Z,49428,"Великая Отечественная война,внешняя политика,Куба",Встреча с Председателем Государственного Совета и Совета Министров Кубы Раулем Кастро
2015-05-07T00:05:00Z,49429,"внешняя политика,Монголия",Встреча с Президентом Монголии Цахиагийн Элбэгдоржем
2015-05-08T00:01:00Z,49432,внешняя политика,Поздравление главам ряда государств с 70-й годовщиной Победы в Великой Отечественной войне
2015-05-08T00:02:00Z,49430,"внешняя политика,Китай",Российско-китайские переговоры
2015-05-08T00:03:00Z,49434,"внешняя политика,СНГ",Встреча глав государств – участников СНГ
2015-05-08T00:04:00Z,49435,"внешняя политика,ЕАЭС,экономика и финансы",Заседание Высшего Евразийского экономического совета
2015-05-08T00:05:00Z,49436,"внешняя политика,Казахстан",Встреча с Президентом Казахстана Нурсултаном Назарбаевым
2015-05-09T00:01:00Z,49437,Великая Отечественная война,Парад в честь 70-летия Великой Победы
2015-05-09T00:02:00Z,49439,Великая Отечественная война,Возложение венка к Могиле Неизвестного Солдата
2015-05-09T00:03:00Z,49440,Великая Отечественная война,Торжественный приём по случаю Дня Победы
2015-05-09T00:04:00Z,49441,"внешняя политика,Египет",Встреча с Президентом Египта Абдельфаттахом Сиси
2015-05-09T00:05:00Z,49442,Великая Отечественная война,Владимир Путин принял участие в акции «Бессмертный полк»
2015-05-09T00:06:00Z,49443,"внешняя политика,Индия",Владимир Путин встретился с Президентом Индии Пранабом Мукерджи
2015-05-09T00:07:00Z,49444,"внешняя политика,Вьетнам",Встреча с Президентом Вьетнама Чыонг Тан Шангом
2015-05-09T00:08:00Z,49445,"внешняя политика,ООН",Встреча с Генеральным секретарём ООН Пан Ги Муном
2015-05-09T00:09:00Z,49446,"внешняя политика,Чехия",Встреча с Президентом Чехии Милошем Земаном
2015-05-09T00:10:00Z,49449,"внешняя политика,Южно-Африканская Республика",Встреча с Президентом ЮАР Джейкобом Зумой
2015-05-09T00:11:00Z,49448,спорт,"Приветствие организаторам, участникам и гостям IV фестиваля Ночной хоккейной лиги"
2015-05-09T00:12:00Z,49450,Великая Отечественная война,Концерт в честь 70-летия Великой Победы
2015-05-10T00:01:00Z,49451,"внешняя политика,Зимбабве",Встреча с Президентом Зимбабве Робертом Мугабе
2015-05-10T00:02:00Z,49452,"внешняя политика,Германия",Встреча с канцлером Германии Ангелой Меркель
2015-05-12T00:01:00Z,49456,Вооружённые Силы,Совещание с руководством Минобороны и представителями ВПК
2015-05-12T00:02:00Z,49458,"внешняя политика,Соединённые Штаты Америки",Встреча с госсекретарём США Джоном Керри
2015-05-12T00:03:00Z,49459,"госслужба,регионы,Ленинградская область",Указ о досрочном прекращении полномочий главы Ленинградской области Александра Дрозденко
2015-05-12T00:04:00Z,49460,"регионы,социальная сфера,экономика и финансы,Ленинградская область",Встреча с губернатором Ленинградской области Александром Дрозденко
2015-05-13T00:01:00Z,49461,"внешняя политика,Индия",Телефонный разговор с Премьер-министром Индии Нарендрой Моди
2015-05-13T00:02:00Z,49462,Вооружённые Силы,Совещание по вопросам развития Вооружённых Сил
2015-05-13T00:03:00Z,49464,"госслужба,регионы,Камчатский край",Указ о досрочном прекращении полномочий губернатора Камчатского края Владимира Илюхина
2015-05-13T00:04:00Z,49467,"регионы,Камчатский край",Рабочая встреча с губернатором Камчатского края Владимиром Илюхиным
2015-05-13T00:05:00Z,49466,"госслужба,регионы,Иркутская область",Указ о досрочном прекращении полномочий губернатора Иркутской области Сергея Ерощенко
2015-05-13T00:06:00Z,49468,"регионы,Иркутская область",Рабочая встреча с губернатором Иркутской области Сергеем Ерощенко
2015-05-14T00:01:00Z,49470,"внешняя политика,Абхазия",Состоится встреча Владимира Путина с Президентом Абхазии Раулем Хаджимбой
2015-05-14T00:02:00Z,49471,"госслужба,регионы,Омская область",Указ о досрочном прекращении полномочий главы Омской области Виктора Назарова
2015-05-14T00:03:00Z,49472,"госслужба,регионы,социальная сфера,экономика и финансы,Омская область",Рабочая встреча с губернатором Омской области Виктором Назаровым
2015-05-14T00:04:00Z,49473,"внешняя политика,Ливан",Встреча с главой политического движения «Мустакбаль» Саадом Харири
2015-05-15T00:01:00Z,49477,Вооружённые Силы,Совещание по вопросам развития Вооружённых Сил
2015-05-15T00:02:00Z,49479,"госслужба,регионы,Костромская область",Указ о досрочном прекращении полномочий губернатора Костромской области
2015-05-15T00:03:00Z,49480,"регионы,Костромская область",Рабочая встреча с губернатором Костромской области Сергеем Ситниковым
2015-05-15T00:04:00Z,49481,"внешняя политика,Абхазия",Встреча с Президентом Абхазии Раулем Хаджимбой
2015-05-16T00:01:00Z,49484,Вооружённые Силы,Совещание по развитию Вооружённых Сил
2015-05-16T00:02:00Z,49485,"спорт,Краснодарский край",Гала-матч Ночной хоккейной лиги
2015-05-16T00:03:00Z,49486,"дети,школа,Краснодарский край",Посещение детского образовательного центра в Сочи
2015-05-18T00:01:00Z,49487,"регионы,социальная сфера,экономика и финансы,Смоленская область",Рабочая встреча с губернатором Смоленской области Алексеем Островским
2015-05-18T00:02:00Z,49488,"госслужба,регионы,Смоленская область",Указ о досрочном прекращении полномочий губернатора Смоленской области
2015-05-18T00:03:00Z,49489,"внешняя политика,Ирак",Президент России встретится с Премьер-министром Ирака Хайдаром Абади
2015-05-19T00:01:00Z,49491,"культура,межнациональные отношения",Совместное заседание Совета по межнациональным отношениям и Совета по русскому языку
2015-05-20T00:01:00Z,49495,"социальная сфера,экономика и финансы",Совещание с членами Правительства
2015-05-20T00:02:00Z,49496,здравоохранение,Встреча с Леонидом Рошалем
2015-05-21T00:01:00Z,49498,"",Поздравление коллективу Росгидромета с Днём полярника
2015-05-21T00:02:00Z,49500,госнаграды,Вручение государственных наград
2015-05-21T00:03:00Z,49502,"внешняя политика,Ирак",Встреча с Премьер-министром Ирака Хайдаром Абади
2015-05-22T00:01:00Z,49507,"госслужба,регионы,Архангельская область",Указ о досрочном прекращении полномочий губернатора Архангельской области
2015-05-22T00:02:00Z,49508,"регионы,социальная сфера,экономика и финансы,Архангельская область",Рабочая встреча с губернатором Архангельской области Игорем Орловым
2015-05-24T00:01:00Z,49521,религия,Встреча с Патриархом Московским и всея Руси Кириллом
2015-05-25T00:01:00Z,49523,"регионы,Пензенская область",Иван Белозерцев назначен временно исполняющим обязанности губернатора Пензенской области
2015-05-25T00:02:00Z,49524,"внешняя политика,Польша",Поздравление Анджею Дуде с избранием на пост Президента Польши
2015-05-25T00:03:00Z,49526,космос,Совещание по вопросам развития космической отрасли
2015-05-25T00:04:00Z,49529,"БРИКС,внешняя политика,национальная безопасность","Президент встретится с представителями государств БРИКС, курирующими вопросы безопасности"
2015-05-25T00:05:00Z,49527,"",Заседание Комиссии по вопросам военно-технического сотрудничества России с иностранными государствами
2015-05-25T00:06:00Z,49530,"регионы,Тамбовская область",Александр Никитин назначен временно исполняющим обязанности главы администрации Тамбовской области
2015-05-25T00:07:00Z,49531,внешняя политика,Телефонный разговор с Премьер-министром Великобритании Дэвидом Кэмероном
2015-05-26T00:01:00Z,49532,поддержка предпринимательства,Бизнес-форум общественной организации «Деловая Россия»
2015-05-26T00:02:00Z,49534,поддержка предпринимательства,Встреча с Уполномоченным по защите прав предпринимателей Борисом Титовым
